Region,BasinOrZone,SubBasinOrSubZone,Landuse,Year,TotalAreaKm2,LanduseKm2,LanduseProportionOfTotalPercent,AreaChangeYearToYear,PercentageChangeYearToYear,XyearToXyear
burdekin,burdekin,belyando,dryland agriculture,2021,35412.7,137.2,0.4,-7,-4.8,2021 to 2016
burdekin,burdekin,broke bogie,dryland agriculture,1999,11999.6,0.7,0,0,0,1999 to 1999
burdekin,burdekin,broke bogie,dryland agriculture,2009,12195.9,2.1,0,1.3,182.9,2009 to 1999
burdekin,burdekin,broke bogie,dryland agriculture,2016,12226.5,2.3,0,0.3,12.7,2016 to 2009
burdekin,burdekin,broke bogie,dryland agriculture,2021,11722.3,2,0,-0.4,-15.7,2021 to 2016
burdekin,burdekin,cape campaspe,dryland agriculture,1999,20626.4,2.3,0,0,0,1999 to 1999
burdekin,burdekin,cape campaspe,dryland agriculture,2009,20630.3,1.8,0,-0.5,-22,2009 to 1999
burdekin,burdekin,cape campaspe,dryland agriculture,2016,20584.4,1.5,0,-0.3,-16.6,2016 to 2009
burdekin,burdekin,suttor,dryland agriculture,1999,19585.6,1003.9,5.1,0,0,1999 to 1999
burdekin,burdekin,suttor,dryland agriculture,2009,19650.3,1029.8,5.2,25.9,2.6,2009 to 1999
burdekin,burdekin,suttor,dryland agriculture,2016,19556.7,1094.2,5.6,64.4,6.3,2016 to 2009
burdekin,burdekin,suttor,dryland agriculture,2021,18206.9,1171.2,6.4,77,7,2021 to 2016
burdekin,burdekin,upper burdekin,dryland agriculture,1999,40690.7,6.1,0,0,0,1999 to 1999
burdekin,burdekin,upper burdekin,dryland agriculture,2009,40690.7,7.9,0,1.8,29.3,2009 to 1999
burdekin,burdekin,upper burdekin,dryland agriculture,2016,40950.4,6.9,0,-1.1,-13.5,2016 to 2009
burdekin,burdekin,upper burdekin,dryland agriculture,2021,40499.4,0.6,0,-6.3,-91.5,2021 to 2016
burdekin,haughton,haughton,dryland agriculture,1999,4156.2,6.8,0.2,0,0,1999 to 1999
burdekin,haughton,haughton,dryland agriculture,2009,4156.4,6.5,0.2,-0.4,-5.3,2009 to 1999
burdekin,haughton,haughton,dryland agriculture,2016,4153.9,6.5,0.2,0,0,2016 to 2009
burdekin,haughton,haughton,dryland agriculture,2021,4065.4,0.4,0,-6.1,-94.5,2021 to 2016
dry tropics,black,black river,dryland agriculture,1999,305.3,0.3,0.1,0,0,1999 to 1999
dry tropics,black,black river,dryland agriculture,2009,304.8,0.1,0,-0.2,-63.9,2009 to 1999
dry tropics,black,black river,dryland agriculture,2016,304.9,0.2,0.1,0.1,48.6,2016 to 2009
dry tropics,black,black river,dryland agriculture,2021,301.5,0.2,0.1,0,0,2021 to 2016
dry tropics,black,bluewater creek,dryland agriculture,1999,296.4,0.1,0,0,0,1999 to 1999
dry tropics,black,crystal creek,dryland agriculture,1999,239.7,0,0,0,0,1999 to 1999
dry tropics,black,crystal creek,dryland agriculture,2009,239.7,0,0,-0,-0,2009 to 1999
dry tropics,black,crystal creek,dryland agriculture,2016,239.6,0,0,0,0,2016 to 2009
dry tropics,black,crystal creek,dryland agriculture,2021,238.9,0,0,0,0,2021 to 2016
dry tropics,ross,alligator creek,dryland agriculture,1999,368.2,0.6,0.2,0,0,1999 to 1999
dry tropics,ross,alligator creek,dryland agriculture,2009,369.1,0.2,0,-0.4,-71.3,2009 to 1999
dry tropics,ross,alligator creek,dryland agriculture,2016,369.4,0.2,0,0,0,2016 to 2009
dry tropics,ross,alligator creek,dryland agriculture,2021,360.1,0.2,0,0,0,2021 to 2016
dry tropics,ross,bohle river,dryland agriculture,1999,332,0.2,0.1,0,0,1999 to 1999
dry tropics,ross,bohle river,dryland agriculture,2009,332.7,0.5,0.1,0.3,138,2009 to 1999
dry tropics,ross,bohle river,dryland agriculture,2016,331,0.1,0,-0.4,-77,2016 to 2009
dry tropics,ross,bohle river,dryland agriculture,2021,328.5,0.1,0,0,0,2021 to 2016
dry tropics,ross,ross river (upper),dryland agriculture,1999,765.2,0.6,0.1,0,0,1999 to 1999
dry tropics,ross,ross river (upper),dryland agriculture,2009,767.5,0.6,0.1,-0,-0,2009 to 1999
dry tropics,ross,ross river (upper),dryland agriculture,2016,768.1,0.5,0.1,-0.1,-10.4,2016 to 2009
dry tropics,ross,ross river (upper),dryland agriculture,2021,760.8,0.2,0,-0.3,-63.6,2021 to 2016
dry tropics,ross,stuart creek,dryland agriculture,1999,124.8,0.3,0.3,0,0,1999 to 1999
dry tropics,ross,stuart creek,dryland agriculture,2009,124.9,0.3,0.3,0,0,2009 to 1999
dry tropics,ross,stuart creek,dryland agriculture,2016,122.6,0.3,0.3,0,0,2016 to 2009
dry tropics,ross,stuart creek,dryland agriculture,2021,120.8,0.1,0,-0.3,-84,2021 to 2016
mackay whitsunday isaac,don,don,dryland agriculture,1999,3920.1,0.5,0,0,0,1999 to 1999
mackay whitsunday isaac,don,don,dryland agriculture,2009,3872.2,0.6,0,0,6.8,2009 to 1999
mackay whitsunday isaac,don,don,dryland agriculture,2016,3865.1,0.6,0,0.1,10.9,2016 to 2009
mackay whitsunday isaac,don,don,dryland agriculture,2021,3750.8,0.4,0,-0.2,-29.3,2021 to 2016
mackay whitsunday isaac,o'connell,o'connell,dryland agriculture,1999,2444.9,0.1,0,0,0,1999 to 1999
mackay whitsunday isaac,o'connell,o'connell,dryland agriculture,2016,2444.9,0,0,-0.1,-68.8,2016 to 1999
mackay whitsunday isaac,o'connell,o'connell,dryland agriculture,2021,2445,0,0,0,78.6,2021 to 2016
mackay whitsunday isaac,pioneer,pioneer,dryland agriculture,2021,1574.9,0.9,0.1,0,0,1999 to 1999
mackay whitsunday isaac,plane,plane,dryland agriculture,1999,2559.9,0.3,0,0,0,1999 to 1999
mackay whitsunday isaac,plane,plane,dryland agriculture,2009,2559.9,0.2,0,-0.2,-48,2009 to 1999
mackay whitsunday isaac,plane,plane,dryland agriculture,2016,2559.9,0.8,0,0.6,358.1,2016 to 2009
mackay whitsunday isaac,plane,plane,dryland agriculture,2021,2623.1,0.7,0,-0.1,-8.1,2021 to 2016
mackay whitsunday isaac,proserpine,proserpine,dryland agriculture,1999,2771.3,1.7,0.1,0,0,1999 to 1999
mackay whitsunday isaac,proserpine,proserpine,dryland agriculture,2009,2771.2,2,0.1,0.2,14.4,2009 to 1999
mackay whitsunday isaac,proserpine,proserpine,dryland agriculture,2016,2771.2,5.8,0.2,3.8,193.5,2016 to 2009
mackay whitsunday isaac,proserpine,proserpine,dryland agriculture,2021,2770.7,3,0.1,-2.8,-48.6,2021 to 2016
wet tropics,barron,barron,dryland agriculture,1999,2381.4,25.1,1.1,0,0,1999 to 1999
wet tropics,barron,barron,dryland agriculture,2009,2368.3,24.2,1,-0.9,-3.5,2009 to 1999
wet tropics,barron,barron,dryland agriculture,2015,2385,20.6,0.9,-3.6,-15,2015 to 2009
wet tropics,barron,barron,dryland agriculture,2021,2192.8,20.4,0.9,-0.2,-1.1,2021 to 2015
wet tropics,daintree,daintree,dryland agriculture,1999,2123.3,44.2,2.1,0,0,1999 to 1999
wet tropics,daintree,daintree,dryland agriculture,2009,2120.6,41.7,2,-2.5,-5.6,2009 to 1999
wet tropics,daintree,daintree,dryland agriculture,2015,2115.7,40.4,1.9,-1.3,-3.1,2015 to 2009
wet tropics,daintree,daintree,dryland agriculture,2021,2104.8,38.2,1.8,-2.2,-5.4,2021 to 2015
wet tropics,herbert,herbert,dryland agriculture,1999,10001.3,608.1,6.1,0,0,1999 to 1999
wet tropics,herbert,herbert,dryland agriculture,2009,9994.8,599.1,6,-9,-1.5,2009 to 1999
wet tropics,herbert,herbert,dryland agriculture,2015,9950.2,604.2,6.1,5.1,0.8,2015 to 2009
wet tropics,herbert,herbert,dryland agriculture,2021,9871.2,608.7,6.2,4.5,0.7,2021 to 2015
wet tropics,johnstone,johnstone,dryland agriculture,1999,2459.7,328.6,13.4,0,0,1999 to 1999
wet tropics,johnstone,johnstone,dryland agriculture,2009,2456.4,272,11.1,-56.6,-17.2,2009 to 1999
wet tropics,johnstone,johnstone,dryland agriculture,2015,2455.5,258.7,10.5,-13.2,-4.9,2015 to 2009
wet tropics,johnstone,johnstone,dryland agriculture,2021,2316.9,251.3,10.8,-7.5,-2.9,2021 to 2015
wet tropics,mossman,mossman,dryland agriculture,1999,513.4,51.8,10.1,0,0,1999 to 1999
wet tropics,mossman,mossman,dryland agriculture,2009,498,47.6,9.6,-4.2,-8.1,2009 to 1999
wet tropics,mossman,mossman,dryland agriculture,2015,496,46.5,9.4,-1.1,-2.4,2015 to 2009
wet tropics,mossman,mossman,dryland agriculture,2021,465.4,44.3,9.5,-2.2,-4.7,2021 to 2015
wet tropics,mulgrave,mulgrave,dryland agriculture,1999,1332.9,168.8,12.7,0,0,1999 to 1999
wet tropics,mulgrave,mulgrave,dryland agriculture,2009,1333.3,161.3,12.1,-7.5,-4.5,2009 to 1999
wet tropics,mulgrave,mulgrave,dryland agriculture,2015,1332.9,157.5,11.8,-3.8,-2.4,2015 to 2009
wet tropics,mulgrave,mulgrave,dryland agriculture,2021,1319.3,150.6,11.4,-6.8,-4.3,2021 to 2015
wet tropics,murray,murray,dryland agriculture,1999,1516.4,156.9,10.3,0,0,1999 to 1999
wet tropics,murray,murray,dryland agriculture,2009,1514.3,165,10.9,8.1,5.2,2009 to 1999
wet tropics,murray,murray,dryland agriculture,2015,1514.9,174.5,11.5,9.5,5.8,2015 to 2009
wet tropics,murray,murray,dryland agriculture,2021,1501.3,183.4,12.2,8.9,5.1,2021 to 2015
wet tropics,russell,russell,dryland agriculture,1999,718.4,107.3,14.9,0,0,1999 to 1999
wet tropics,russell,russell,dryland agriculture,2009,695.6,95.2,13.7,-12.1,-11.3,2009 to 1999
wet tropics,russell,russell,dryland agriculture,2015,696.1,90.4,13,-4.8,-5,2015 to 2009
wet tropics,russell,russell,dryland agriculture,2021,670.3,87.1,13,-3.3,-3.7,2021 to 2015
wet tropics,tully,tully,dryland agriculture,1999,1718,215.6,12.5,0,0,1999 to 1999
wet tropics,tully,tully,dryland agriculture,2009,1711.8,202,11.8,-13.6,-6.3,2009 to 1999
wet tropics,tully,tully,dryland agriculture,2015,1712.8,209.6,12.2,7.6,3.8,2015 to 2009
wet tropics,tully,tully,dryland agriculture,2021,1684,210.6,12.5,1,0.5,2021 to 2015
burdekin,burdekin,belyando,forestry,1999,36750.6,468,1.3,0,0,1999 to 1999
burdekin,burdekin,belyando,forestry,2009,36972.8,468,1.3,-0,-0,2009 to 1999
burdekin,burdekin,belyando,forestry,2016,36042.5,468,1.3,0,0,2016 to 2009
burdekin,burdekin,belyando,forestry,2021,35412.7,468.5,1.3,0.5,0.1,2021 to 2016
burdekin,burdekin,broke bogie,forestry,1999,11999.6,279.9,2.3,0,0,1999 to 1999
burdekin,burdekin,broke bogie,forestry,2009,12195.9,279.9,2.3,-0,-0,2009 to 1999
burdekin,burdekin,broke bogie,forestry,2016,12226.5,209.7,1.7,-70.2,-25.1,2016 to 2009
burdekin,burdekin,broke bogie,forestry,2021,11722.3,210.1,1.8,0.4,0.2,2021 to 2016
burdekin,burdekin,lower burdekin,forestry,2009,3801.8,0,0,0,0,1999 to 1999
burdekin,burdekin,lower burdekin,forestry,2016,3802.7,9.3,0.2,9.3,75064.7,2016 to 2009
burdekin,burdekin,lower burdekin,forestry,2021,3757.2,0,0,-9.3,-99.9,2021 to 2016
burdekin,burdekin,suttor,forestry,2009,19650.3,0.4,0,0,0,1999 to 1999
burdekin,burdekin,suttor,forestry,2016,19556.7,0.4,0,0,0,2016 to 2009
burdekin,burdekin,suttor,forestry,2021,18206.9,0.4,0,-0,-0,2021 to 2016
burdekin,burdekin,upper burdekin,forestry,1999,40690.7,444.2,1.1,0,0,1999 to 1999
burdekin,burdekin,upper burdekin,forestry,2009,40690.7,79.4,0.2,-364.8,-82.1,2009 to 1999
burdekin,burdekin,upper burdekin,forestry,2016,40950.4,79.4,0.2,-0,-0,2016 to 2009
burdekin,burdekin,upper burdekin,forestry,2021,40499.4,79.3,0.2,-0.1,-0.1,2021 to 2016
burdekin,haughton,haughton,forestry,1999,4156.2,32.8,0.8,0,0,1999 to 1999
burdekin,haughton,haughton,forestry,2009,4156.4,32.8,0.8,-0,-0.1,2009 to 1999
burdekin,haughton,haughton,forestry,2016,4153.9,32.6,0.8,-0.2,-0.6,2016 to 2009
burdekin,haughton,haughton,forestry,2021,4065.4,32.6,0.8,0,0,2021 to 2016
dry tropics,black,black river,forestry,1999,305.3,13.2,4.3,0,0,1999 to 1999
dry tropics,black,black river,forestry,2009,304.8,13.1,4.3,-0.1,-0.6,2009 to 1999
dry tropics,black,black river,forestry,2016,304.9,13.2,4.3,0.1,0.5,2016 to 2009
dry tropics,black,black river,forestry,2021,301.5,13.2,4.4,-0,-0,2021 to 2016
dry tropics,black,bluewater creek,forestry,1999,296.4,13.6,4.6,0,0,1999 to 1999
dry tropics,black,bluewater creek,forestry,2009,296.1,10.5,3.5,-3.2,-23.4,2009 to 1999
dry tropics,black,bluewater creek,forestry,2016,296.7,10.5,3.5,0,0,2016 to 2009
dry tropics,black,bluewater creek,forestry,2021,291.4,10.5,3.6,0,0,2021 to 2016
dry tropics,black,crystal creek,forestry,1999,239.7,48.2,20.1,0,0,1999 to 1999
dry tropics,black,crystal creek,forestry,2009,239.7,0.1,0.1,-48,-99.7,2009 to 1999
dry tropics,black,crystal creek,forestry,2016,239.6,0.2,0.1,0,17,2016 to 2009
dry tropics,black,crystal creek,forestry,2021,238.9,0.2,0.1,-0,-0,2021 to 2016
dry tropics,black,paluma lake,forestry,1999,5.1,0.3,6.7,0,0,1999 to 1999
dry tropics,black,paluma lake,forestry,2009,5.1,0.3,6,-0,-11.2,2009 to 1999
dry tropics,black,paluma lake,forestry,2016,5.1,0.3,6,0,0,2016 to 2009
dry tropics,black,paluma lake,forestry,2021,5.1,0.3,6,-0,-0,2021 to 2016
dry tropics,black,rollingstone creek,forestry,1999,224,131.7,58.8,0,0,1999 to 1999
dry tropics,black,rollingstone creek,forestry,2009,224,54.9,24.5,-76.9,-58.3,2009 to 1999
dry tropics,black,rollingstone creek,forestry,2016,224.1,54.8,24.5,-0.1,-0.1,2016 to 2009
dry tropics,black,rollingstone creek,forestry,2021,221.8,54.8,24.7,-0,-0,2021 to 2016
dry tropics,ross,bohle river,forestry,1999,332,0.1,0,0,0,1999 to 1999
dry tropics,ross,bohle river,forestry,2009,332.7,0.1,0,-0,-0,2009 to 1999
dry tropics,ross,bohle river,forestry,2016,331,0.1,0,0,0,2016 to 2009
dry tropics,ross,bohle river,forestry,2021,328.5,0.1,0,0,0,2021 to 2016
dry tropics,ross,ross river (upper),forestry,1999,765.2,44.9,5.9,0,0,1999 to 1999
dry tropics,ross,ross river (upper),forestry,2009,767.5,44.9,5.9,0,0,2009 to 1999
dry tropics,ross,ross river (upper),forestry,2016,768.1,44.9,5.8,0,0,2016 to 2009
dry tropics,ross,ross river (upper),forestry,2021,760.8,44.9,5.9,-0,-0,2021 to 2016
mackay whitsunday isaac,don,don,forestry,1999,3920.1,0.2,0,0,0,1999 to 1999
mackay whitsunday isaac,don,don,forestry,2009,3872.2,0.3,0,0.1,35,2009 to 1999
mackay whitsunday isaac,don,don,forestry,2016,3865.1,0.3,0,0,0,2016 to 2009
mackay whitsunday isaac,don,don,forestry,2021,3750.8,0.3,0,0,0,2021 to 2016
mackay whitsunday isaac,o'connell,o'connell,forestry,1999,2444.9,198.2,8.1,0,0,1999 to 1999
mackay whitsunday isaac,o'connell,o'connell,forestry,2009,2444.9,181.7,7.4,-16.4,-8.3,2009 to 1999
mackay whitsunday isaac,o'connell,o'connell,forestry,2016,2444.9,159,6.5,-22.7,-12.5,2016 to 2009
mackay whitsunday isaac,o'connell,o'connell,forestry,2021,2445,155.6,6.4,-3.5,-2.2,2021 to 2016
mackay whitsunday isaac,pioneer,pioneer,forestry,1999,1571.2,365.4,23.3,0,0,1999 to 1999
mackay whitsunday isaac,pioneer,pioneer,forestry,2009,1571.2,373.4,23.8,8,2.2,2009 to 1999
mackay whitsunday isaac,pioneer,pioneer,forestry,2016,1571.2,297.3,18.9,-76,-20.4,2016 to 2009
mackay whitsunday isaac,pioneer,pioneer,forestry,2021,1574.9,298,18.9,0.7,0.2,2021 to 2016
mackay whitsunday isaac,plane,plane,forestry,1999,2559.9,122.1,4.8,0,0,1999 to 1999
mackay whitsunday isaac,plane,plane,forestry,2009,2559.9,109.4,4.3,-12.7,-10.4,2009 to 1999
mackay whitsunday isaac,plane,plane,forestry,2016,2559.9,147,5.7,37.6,34.4,2016 to 2009
mackay whitsunday isaac,plane,plane,forestry,2021,2623.1,149,5.7,2,1.3,2021 to 2016
mackay whitsunday isaac,proserpine,proserpine,forestry,1999,2771.3,251.9,9.1,0,0,1999 to 1999
mackay whitsunday isaac,proserpine,proserpine,forestry,2009,2771.2,258.3,9.3,6.4,2.5,2009 to 1999
mackay whitsunday isaac,proserpine,proserpine,forestry,2016,2771.2,134.7,4.9,-123.6,-47.8,2016 to 2009
mackay whitsunday isaac,proserpine,proserpine,forestry,2021,2770.7,134.7,4.9,0,0,2021 to 2016
wet tropics,barron,barron,forestry,1999,2381.4,805.3,33.8,0,0,1999 to 1999
wet tropics,barron,barron,forestry,2009,2368.3,395.1,16.7,-410.1,-50.9,2009 to 1999
wet tropics,barron,barron,forestry,2015,2385,239,10,-156.1,-39.5,2015 to 2009
wet tropics,barron,barron,forestry,2021,2192.8,239.3,10.9,0.2,0.1,2021 to 2015
wet tropics,daintree,daintree,forestry,1999,2123.3,1000.4,47.1,0,0,1999 to 1999
wet tropics,daintree,daintree,forestry,2009,2120.6,903.4,42.6,-97,-9.7,2009 to 1999
wet tropics,herbert,herbert,forestry,1999,10001.3,562.9,5.6,0,0,1999 to 1999
wet tropics,herbert,herbert,forestry,2009,9994.8,426,4.3,-136.9,-24.3,2009 to 1999
wet tropics,herbert,herbert,forestry,2015,9950.2,395,4,-31,-7.3,2015 to 2009
wet tropics,herbert,herbert,forestry,2021,9871.2,423.2,4.3,28.1,7.1,2021 to 2015
wet tropics,johnstone,johnstone,forestry,1999,2459.7,638.8,26,0,0,1999 to 1999
wet tropics,johnstone,johnstone,forestry,2009,2456.4,38.4,1.6,-600.3,-94,2009 to 1999
wet tropics,johnstone,johnstone,forestry,2015,2455.5,3.8,0.2,-34.6,-90,2015 to 2009
wet tropics,johnstone,johnstone,forestry,2021,2316.9,3.2,0.1,-0.7,-17.5,2021 to 2015
wet tropics,mossman,mossman,forestry,1999,513.4,158.7,30.9,0,0,1999 to 1999
wet tropics,mossman,mossman,forestry,2009,498,0.2,0,-158.6,-99.9,2009 to 1999
wet tropics,mossman,mossman,forestry,2015,496,0.1,0,-0,-21.5,2015 to 2009
wet tropics,mossman,mossman,forestry,2021,465.4,0.2,0,0.1,48.7,2021 to 2015
wet tropics,mulgrave,mulgrave,forestry,1999,1332.9,255.7,19.2,0,0,1999 to 1999
wet tropics,mulgrave,mulgrave,forestry,2009,1333.3,5.2,0.4,-250.5,-98,2009 to 1999
wet tropics,mulgrave,mulgrave,forestry,2015,1332.9,5.2,0.4,-0,-0.6,2015 to 2009
wet tropics,mulgrave,mulgrave,forestry,2021,1319.3,5.2,0.4,0,0,2021 to 2015
wet tropics,murray,murray,forestry,1999,1516.4,327.7,21.6,0,0,1999 to 1999
wet tropics,murray,murray,forestry,2009,1514.3,109.9,7.3,-217.7,-66.4,2009 to 1999
wet tropics,murray,murray,forestry,2015,1514.9,102.9,6.8,-7,-6.4,2015 to 2009
wet tropics,murray,murray,forestry,2021,1501.3,102.8,6.8,-0.2,-0.2,2021 to 2015
wet tropics,russell,russell,forestry,1999,718.4,23.9,3.3,0,0,1999 to 1999
wet tropics,russell,russell,forestry,2009,695.6,2.6,0.4,-21.3,-89.1,2009 to 1999
wet tropics,russell,russell,forestry,2015,696.1,1.6,0.2,-1,-37,2015 to 2009
wet tropics,russell,russell,forestry,2021,670.3,1.5,0.2,-0.1,-8.1,2021 to 2015
wet tropics,tully,tully,forestry,1999,1718,766.2,44.6,0,0,1999 to 1999
wet tropics,tully,tully,forestry,2009,1711.8,20.3,1.2,-745.8,-97.3,2009 to 1999
wet tropics,tully,tully,forestry,2021,1684,28.7,1.7,8.4,41.2,2021 to 2009
burdekin,burdekin,belyando,grazing,1999,36750.6,34967.5,95.1,0,0,1999 to 1999
burdekin,burdekin,belyando,grazing,2009,36972.8,35011.2,94.7,43.7,0.1,2009 to 1999
burdekin,burdekin,belyando,grazing,2016,36042.5,34067.5,94.5,-943.6,-2.7,2016 to 2009
burdekin,burdekin,belyando,grazing,2021,35412.7,33362.3,94.2,-705.3,-2.1,2021 to 2016
burdekin,burdekin,broke bogie,grazing,1999,11999.6,10697.7,89.2,0,0,1999 to 1999
burdekin,burdekin,broke bogie,grazing,2009,12195.9,10758.9,88.2,61.2,0.6,2009 to 1999
burdekin,burdekin,broke bogie,grazing,2016,12226.5,10767.9,88.1,9,0.1,2016 to 2009
burdekin,burdekin,broke bogie,grazing,2021,11722.3,10289.7,87.8,-478.2,-4.4,2021 to 2016
burdekin,burdekin,cape campaspe,grazing,1999,20626.4,19482.2,94.5,0,0,1999 to 1999
burdekin,burdekin,cape campaspe,grazing,2009,20630.3,19483.1,94.4,0.8,0,2009 to 1999
burdekin,burdekin,cape campaspe,grazing,2016,20584.4,19435.8,94.4,-47.2,-0.2,2016 to 2009
burdekin,burdekin,cape campaspe,grazing,2021,20448.4,19391.6,94.8,-44.3,-0.2,2021 to 2016
burdekin,burdekin,lower burdekin,grazing,1999,3794.4,3324.7,87.6,0,0,1999 to 1999
burdekin,burdekin,lower burdekin,grazing,2009,3801.8,3328.4,87.5,3.7,0.1,2009 to 1999
burdekin,burdekin,lower burdekin,grazing,2016,3802.7,3326.9,87.5,-1.5,-0,2016 to 2009
burdekin,burdekin,lower burdekin,grazing,2021,3757.2,3143.1,83.7,-183.8,-5.5,2021 to 2016
burdekin,burdekin,suttor,grazing,1999,19585.6,17695.2,90.3,0,0,1999 to 1999
burdekin,burdekin,suttor,grazing,2009,19650.3,17676.9,90,-18.2,-0.1,2009 to 1999
burdekin,burdekin,suttor,grazing,2016,19556.7,17515.8,89.6,-161.2,-0.9,2016 to 2009
burdekin,burdekin,suttor,grazing,2021,18206.9,16094.2,88.4,-1421.5,-8.1,2021 to 2016
burdekin,burdekin,upper burdekin,grazing,1999,40690.7,36242.3,89.1,0,0,1999 to 1999
burdekin,burdekin,upper burdekin,grazing,2009,40690.7,35393.6,87,-848.7,-2.3,2009 to 1999
burdekin,burdekin,upper burdekin,grazing,2016,40950.4,34934.7,85.3,-458.9,-1.3,2016 to 2009
burdekin,burdekin,upper burdekin,grazing,2021,40499.4,31471.5,77.7,-3463.3,-9.9,2021 to 2016
burdekin,haughton,haughton,grazing,1999,4156.2,2367.4,57,0,0,1999 to 1999
burdekin,haughton,haughton,grazing,2009,4156.4,2338.1,56.3,-29.2,-1.2,2009 to 1999
burdekin,haughton,haughton,grazing,2016,4153.9,2317.2,55.8,-20.9,-0.9,2016 to 2009
burdekin,haughton,haughton,grazing,2021,4065.4,2304,56.7,-13.3,-0.6,2021 to 2016
dry tropics,black,black river,grazing,1999,305.3,216.6,71,0,0,1999 to 1999
dry tropics,black,black river,grazing,2009,304.8,214.4,70.3,-2.2,-1,2009 to 1999
dry tropics,black,black river,grazing,2016,304.9,211.1,69.3,-3.3,-1.5,2016 to 2009
dry tropics,black,black river,grazing,2021,301.5,194.6,64.5,-16.5,-7.8,2021 to 2016
dry tropics,black,bluewater creek,grazing,1999,296.4,222,74.9,0,0,1999 to 1999
dry tropics,black,bluewater creek,grazing,2009,296.1,205.3,69.3,-16.7,-7.5,2009 to 1999
dry tropics,black,bluewater creek,grazing,2016,296.7,172.7,58.2,-32.6,-15.9,2016 to 2009
dry tropics,black,bluewater creek,grazing,2021,291.4,168.4,57.8,-4.3,-2.5,2021 to 2016
dry tropics,black,crystal creek,grazing,1999,239.7,29.2,12.2,0,0,1999 to 1999
dry tropics,black,crystal creek,grazing,2009,239.7,28.6,11.9,-0.6,-2.1,2009 to 1999
dry tropics,black,crystal creek,grazing,2016,239.6,28.5,11.9,-0.1,-0.5,2016 to 2009
dry tropics,black,crystal creek,grazing,2021,238.9,53.5,22.4,25,87.8,2021 to 2016
dry tropics,black,rollingstone creek,grazing,1999,224,31.3,14,0,0,1999 to 1999
dry tropics,black,rollingstone creek,grazing,2009,224,31.3,14,0,0.1,2009 to 1999
dry tropics,black,rollingstone creek,grazing,2016,224.1,31.2,13.9,-0.1,-0.2,2016 to 2009
dry tropics,black,rollingstone creek,grazing,2021,221.8,40.1,18.1,8.9,28.4,2021 to 2016
dry tropics,ross,alligator creek,grazing,1999,368.2,80.7,21.9,0,0,1999 to 1999
dry tropics,ross,alligator creek,grazing,2009,369.1,81,21.9,0.3,0.4,2009 to 1999
dry tropics,ross,alligator creek,grazing,2016,369.4,79.1,21.4,-1.9,-2.3,2016 to 2009
dry tropics,ross,alligator creek,grazing,2021,360.1,69.4,19.3,-9.8,-12.4,2021 to 2016
dry tropics,ross,bohle river,grazing,1999,332,200.1,60.3,0,0,1999 to 1999
dry tropics,ross,bohle river,grazing,2009,332.7,172.6,51.9,-27.5,-13.7,2009 to 1999
dry tropics,ross,bohle river,grazing,2016,331,151.7,45.8,-20.8,-12.1,2016 to 2009
dry tropics,ross,bohle river,grazing,2021,328.5,148.6,45.2,-3.1,-2.1,2021 to 2016
dry tropics,ross,ross river (lower),grazing,1999,134.3,0.7,0.5,0,0,1999 to 1999
dry tropics,ross,ross river (lower),grazing,2009,133.9,0.2,0.2,-0.5,-66,2009 to 1999
dry tropics,ross,ross river (lower),grazing,2016,133.9,0,0,-0.2,-92.6,2016 to 2009
dry tropics,ross,ross river (lower),grazing,2021,133.9,0,0,0,0,2021 to 2016
dry tropics,ross,ross river (upper),grazing,1999,765.2,545.4,71.3,0,0,1999 to 1999
dry tropics,ross,ross river (upper),grazing,2009,767.5,545.5,71.1,0.1,0,2009 to 1999
